#NId Centrality
9512380 310
9804398 300
9807344 247
9507378 237
9408384 236
101336 236
9306320 230
9903282 221
9807216 219
3154 212
9410404 194
9303230 178
9603208 177
9308246 170
9209232 169
9806404 169
9506380 168
9705442 168
9802290 164
10338 160
9302210 157
9803466 154
9207214 152
9709356 151
209244 149
9812360 148
9512406 147
9704376 146
6124 142
9905312 142
207108 142
9502298 142
202058 141
9806292 140
204316 138
9811350 138
202122 137
9404270 137
9403338 135
9312272 134
9411426 133
9512336 124
9502336 124
9504316 121
9810442 117
9207234 117
5114 114
9607394 114
104110 111
203056 111
9912358 111
9303202 111
9504378 110
9711396 110
9802302 109
9811448 108
9310320 108
9401258 108
9303320 108
212304 107
9811356 107
3058 106
9810270 106
9311340 106
9501384 106
9606388 105
9807278 105
9812448 105
9401310 105
9303270 105
106258 104
9402360 104
9501334 103
9502300 103
2258 102
9408406 102
9903358 102
9302316 101
9703290 100
9350 100
9308288 99
9507282 99
9701390 98
3238 98
9511288 98
9810232 98
9811428 98
102122 97
9812472 96
101224 96
6032 95
9607372 95
9402364 95
9601208 93
204314 93
9303284 93
9602260 92
9704448 92
7218 92
9805422 92
9704452 91
9901362 91
9905226 91
9307364 90
9705292 90
9504324 89
9604412 89
9605342 89
9602374 88
9505248 88
201146 88
9805470 87
9609434 87
107316 87
9403256 87
111198 86
9708456 86
106012 85
9908288 85
9812538 85
9507462 85
9211304 84
9605398 84
9805494 84
106204 84
9410280 84
9205228 84
9603404 83
9603420 83
9408214 83
9806328 83
108236 83
9806308 82
12308 81
9603378 80
9906234 80
9405388 79
102146 79
9903422 79
9812252 79
9404282 79
9511210 78
9809596 78
9911272 78
9807358 78
9403290 78
9606324 78
3180 77
9212278 77
9206242 77
9503486 76
9802334 76
9812256 76
9405410 75
9904404 75
9904408 75
9712290 75
9603238 75
9703276 75
9403266 75
9803368 74
9703288 74
103280 74
9602366 73
9901208 73
9808296 73
9811390 73
9306242 72
9503280 72
9603202 72
9211256 72
104062 72
9509348 72
206072 72
9703442 72
9308262 71
9408228 71
9408404 71
9905466 71
9502366 71
102098 70
9610540 70
9906224 70
9612446 70
9909232 70
212406 70
103048 70
9209268 69
9806540 69
9605408 69
9601276 68
9505326 68
9605264 68
9802394 68
106050 68
111058 68
9401328 68
1134 67
2108 67
9309310 67
9804294 67
1002 66
9802314 66
9607254 66
9903472 66
9905310 66
9808272 66
9808312 66
210192 66
210390 66
212380 66
9507386 66
9504372 65
9409254 65
106264 65
9806344 65
9905566 65
210398 65
102204 65
9709432 65
9603314 64
9802440 64
9608224 64
9602250 64
9905214 64
7176 64
9906434 64
9610252 64
9206236 64
104034 63
9506374 63
4004 63
9901246 63
9602208 63
9801430 63
9512396 63
9601360 62
9210242 62
9507294 62
9509204 62
9709388 62
9608308 62
9712464 62
9409440 62
9409458 62
9304240 62
9503214 61
9211260 61
5142 61
9510378 61
9512218 61
109090 61
9909334 61
211434 61
9911406 61
9905536 61
9310316 61
9403224 61
9502348 61
9405218 60
9603310 60
9605214 60
9311222 60
9609444 60
9602238 60
9807462 60
9911524 60
102344 60
9403364 60
9504292 59
9612262 59
9606370 59
204286 59
205160 59
9610544 59
208114 59
9812282 59
9409380 59
9504342 58
9701284 58
9907240 58
9603400 58
9506452 58
9608430 58
9806236 58
9512404 58
9906422 58
111150 58
112312 58
9311214 58
9403384 58
9503384 57
9602414 57
9705234 57
9604370 57
9606230 57
9606386 57
7298 57
9805270 57
211168 57
211252 57
9905220 57
9205238 57
9305348 57
9604388 56
9605446 56
9507216 56
9802350 56
9510408 56
9707390 56
9706260 56
9905242 56
9905474 56
9711246 56
9810260 56
9712224 56
9603326 56
9408306 56
9707354 56
9605288 56
9507262 56
9503492 55
9506416 55
9507212 55
6002 55
9706534 55
9510376 55
106120 55
108264 55
9710434 55
9907522 55
204080 55
9308292 55
9712442 55
9812320 55
9609512 55
9604320 55
9807310 55
10208 55
1306 54
9702392 54
3246 54
9604364 54
9703284 54
9409244 54
202086 54
9312324 54
9904210 54
9904378 54
9610276 54
9905548 54
9611218 54
9907520 54
9810410 54
9812418 54
9912236 54
9512364 54
9703220 54
9302318 54
9604452 53
9408222 53
9901388 53
9410326 53
9705304 53
203210 53
9904468 53
107220 53
9512328 53
9512388 53
9907462 53
9907472 53
9907510 53
9809352 53
9511454 53
9302208 53
9401226 53
9401254 53
9311274 53
9606342 53
9503290 52
9504248 52
9701244 52
9801238 52
9310212 52
9605296 52
9508258 52
9711262 52
9411342 52
9602206 52
9706430 52
7208 52
9602280 52
9807228 52
9710270 52
11356 52
9903448 52
2150 52
9712546 52
9308336 52
9912516 52
9301244 52
9401308 52
9906378 52
103324 52
9305274 52
9207264 52
9502224 52
9701238 51
9308222 51
9702276 51
9801260 51
9801262 51
9703278 51
4014 51
103218 51
9606314 51
9411260 51
8124 51
9608322 51
9612364 51
9505422 51
107048 51
9812358 51
9408224 51
9905292 51
9906206 51
9402210 51
9206218 51
9403306 51
1086 50
1312 50
9603374 50
9309294 50
3184 50
9803316 50
104146 50
9411366 50
302174 50
9806348 50
9806400 50
9906374 50
9808412 50
9907222 50
9811202 50
9902484 50
9604330 50
9302280 50
9303274 50
9607332 50
9207236 50
9503464 49
9405304 49
9612464 49
9703420 49
103090 49
5104 49
9606260 49
105200 49
9712322 49
9410338 49
9911224 49
9911262 49
212158 49
6162 49
9703212 49
9608458 49
9306294 48
9601280 48
9710460 48
2234 48
9505224 48
3142 48
3306 48
9211248 48
9703464 48
9802238 48
103320 48
5122 48
106116 48
205342 48
9610224 48
108168 48
108244 48
111042 48
9810500 48
9510204 48
9908352 48
209294 48
9712372 48
2178 48
210342 48
112108 48
3122 48
211010 48
9812396 48
9305306 48
9710204 48
11014 47
206248 47
204100 47
9308210 47
9408290 47
201156 47
202200 47
9705290 47
7226 47
9903404 47
205044 47
9904382 47
9806482 47
9706344 47
9906512 47
9808304 47
9907234 47
9809470 47
9908326 47
9903502 47
9811460 47
9707412 47
9407344 47
9610358 47
102234 47
9512252 47
9310242 47
212136 47
5260 47
9901228 47
9305266 47
9901384 47
9601282 46
1334 46
9504326 46
9308272 46
9604298 46
9506248 46
9408346 46
102324 46
9507284 46
5218 46
9901254 46
202270 46
9902310 46
9509406 46
9903308 46
9903454 46
9903456 46
9511228 46
205248 46
9806468 46
9905550 46
9709492 46
9611284 46
10328 46
9906478 46
9712222 46
9712392 46
9811316 46
9811472 46
9708222 46
9509312 46
9911434 46
9808232 46
9404302 46
9503356 45
1286 45
9612260 45
9809234 45
9310350 45
9507380 45
9507414 45
9606280 45
202030 45
9410240 45
9705416 45
6154 45
9307266 45
9602216 45
9904248 45
9904266 45
106166 45
9807454 45
9906322 45
9903298 45
9907532 45
111232 45
111340 45
9510372 45
9805342 45
112338 45
9205230 45
9811386 45
9305228 45
9502270 45
9404280 45
9306230 44
9803242 44
9405338 44
9405352 44
2064 44
3084 44
3258 44
9506242 44
9408376 44
9310228 44
9605220 44
9803256 44
9509398 44
9509410 44
7092 44
8208 44
9058 44
9905372 44
9807264 44
9906244 44
11248 44
9612424 44
110192 44
9711308 44
9903418 44
9712368 44
9810360 44
9805442 44
9912408 44
9309266 44
9511388 44
9610370 44
108224 44
9301236 44
9302240 44
9601356 43
9405342 43
9406224 43
9406386 43
9701396 43
9612300 43
9407394 43
9705344 43
9801208 43
202110 43
9809582 43
110292 43
9706438 43
7180 43
9805268 43
9904262 43
205106 43
9212 43
209256 43
9701286 43
110220 43
9810512 43
9911256 43
9505428 43
9812366 43
206174 43
9802300 43
9204214 43
9306256 42
9710372 42
9405320 42
9504246 42
9601298 42
9803380 42
9803454 42
9603212 42
9702216 42
9312212 42
9703240 42
9605456 42
9607414 42
9902334 42
9804252 42
9706476 42
9510232 42
204288 42
106334 42
9904472 42
9254 42
10106 42
9711264 42
9908286 42
9810308 42
111092 42
9909456 42
9910320 42
211404 42
9911490 42
9904380 42
9511386 42
9501394 42
9502260 42
9503344 41
1046 41
9307242 41
9606354 41
9612202 41
9406390 41
9603366 41
9410406 41
3212 41
9506256 41
4044 41
103256 41
9311204 41
6098 41
203198 41
105014 41
9411234 41
7108 41
9903260 41
9903294 41
9903402 41
204092 41
9805500 41
9511342 41
9610490 41
206162 41
9709322 41
9611272 41
209306 41
9710438 41
208078 41
9907422 41
9908432 41
9811378 41
9912340 41
9612398 41
9511446 41
9905464 41
9704402 41
9402288 41
9206262 41
9403226 41
9502338 41
9508386 40
9504330 40
2036 40
3086 40
9705356 40
9801272 40
103062 40
9704298 40
9903270 40
9508296 40
9803290 40
9307208 40
204068 40
8102 40
205022 40
9905472 40
206304 40
9810216 40
9808270 40
109120 40
9608318 40
11094 40
9907432 40
208112 40
9907496 40
9908382 40
9903516 40
111262 40
9712302 40
9909234 40
112302 40
9910474 40
211370 40
9911252 40
7294 40
112102 40
9610400 40
9401236 40
9704412 40
9511324 40
9501222 40
9305258 40
9207218 40
9306212 39
9306240 39
9601234 39
9405214 39
1172 39
9504234 39
2198 39
9603350 39
9505350 39
102228 39
9605286 39
201176 39
9901288 39
104242 39
9705286 39
301084 39
9902364 39
105008 39
7192 39
9903224 39
106024 39
9707482 39
9904278 39
9511292 39
9511378 39
9711348 39
9512348 39
108104 39
9807552 39
108250 39
10008 39
9709450 39
9906296 39
109166 39
111114 39
9907362 39
111362 39
9909478 39
9512288 39
9812392 39
9911414 39
210142 39
9312296 39
9702318 39
9806266 39
7362 39
9310276 39
9906286 39
9403264 39
9207278 39
9307322 39
9502418 39
9306270 38
9601324 38
9601362 38
1166 38
1268 38
9602364 38
9504312 38
9504314 38
9504374 38
9504426 38
9701294 38
2232 38
101300 38
9506354 38
9703246 38
9212284 38
201224 38
5024 38
5080 38
9311372 38
9803210 38
104152 38
104218 38
9410360 38
6136 38
6190 38
9706382 38
9602262 38
9804332 38
9903478 38
9412322 38
12352 38
9708254 38
9908362 38
105292 38
108252 38
9709348 38
10080 38
9808328 38
109202 38
9903262 38
9608394 38
208080 38
208236 38
9711384 38
12156 38
9510220 38
9805208 38
9308274 38
9712488 38
9909304 38
9909480 38
210236 38
2286 38
9805424 38
9911370 38
9912496 38
9609374 38
102090 38
211462 38
9905422 38
9402266 38
9403240 38
9607366 38
9503264 37
9503414 37
1204 37
1264 37
101106 37
9612426 37
9407404 37
101304 37
9604416 37
9801268 37
9408276 37
9508204 37
9508302 37
9410304 37
9705244 37
9902392 37
104304 37
9705366 37
9804290 37
105028 37
9509308 37
7152 37
9903400 37
9903498 37
9903544 37
9707532 37
8268 37
9904232 37
9806462 37
9905390 37
9512264 37
207026 37
11054 37
9907390 37
9612480 37
208068 37
9907572 37
9810520 37
9809480 37
9712228 37
9909218 37
9811498 37
9811500 37
9910236 37
8070 37
9902280 37
3186 37
206300 37
9302224 37
9401206 37
9403398 37
9208254 36
9503204 36
9405414 36
104108 36
9907448 36
9408234 36
4028 36
4208 36
4210 36
103032 36
110024 36
9409212 36
9607290 36
103182 36
202054 36
9803476 36
9410310 36
104284 36
203166 36
9903226 36
9510286 36
