#NId Centrality
195 0.465630
444 0.450214
273 0.446922
78 0.443489
516 0.440562
423 0.440269
639 0.438306
588 0.437147
1077 0.434848
378 0.433294
213 0.432958
93 0.432469
72 0.430907
1824 0.426336
915 0.425712
528 0.425538
672 0.425016
480 0.423630
549 0.420885
780 0.420423
1935 0.419938
90 0.418826
471 0.417983
264 0.417144
462 0.417097
336 0.416786
300 0.416762
243 0.416285
426 0.415263
570 0.414743
477 0.414459
681 0.414082
27 0.413611
684 0.413376
180 0.413211
186 0.412977
585 0.412625
228 0.410692
678 0.410599
3237 0.410599
723 0.409928
441 0.409836
420 0.409076
564 0.408662
924 0.408478
519 0.408387
1137 0.408295
225 0.408180
75 0.407175
234 0.407175
165 0.407039
402 0.406674
255 0.406561
1185 0.406561
345 0.406311
183 0.405858
1026 0.405496
543 0.404639
1095 0.404481
525 0.404414
504 0.403830
624 0.403561
948 0.403472
576 0.403002
1032 0.402935
1458 0.402623
5733 0.402556
1233 0.402512
771 0.402023
615 0.401512
591 0.401313
804 0.401224
240 0.401180
498 0.400871
1050 0.400650
489 0.400495
645 0.400275
1566 0.400209
417 0.399572
450 0.399572
1104 0.399374
1068 0.399286
939 0.399046
342 0.398958
822 0.398063
1653 0.398019
1122 0.397172
360 0.397020
261 0.396847
816 0.395983
1176 0.395552
621 0.395488
1443 0.395295
1371 0.395187
573 0.395123
813 0.394930
666 0.394053
81 0.393989
3075 0.393882
7155 0.393520
1842 0.393371
1899 0.392691
492 0.391803
354 0.391740
1341 0.391529
291 0.391487
1572 0.391318
177 0.391255
357 0.390961
4293 0.390478
603 0.390227
1461 0.389934
5148 0.389913
102 0.389871
510 0.389809
762 0.389475
4524 0.389371
7503 0.389287
192 0.388975
5217 0.388726
1110 0.388663
168 0.388622
1401 0.388394
675 0.388207
1788 0.388186
2253 0.388124
1101 0.388083
1140 0.387277
315 0.386865
687 0.386290
879 0.385533
456 0.385349
2058 0.385267
1236 0.385206
147 0.384656
438 0.384636
1044 0.384575
4365 0.384453
114 0.384412
1038 0.384270
2091 0.384067
744 0.384027
642 0.383864
2601 0.383581
393 0.383419
714 0.382935
1071 0.382915
1767 0.382774
4677 0.382693
7467 0.382673
4056 0.382613
1737 0.382593
540 0.381629
252 0.381229
1170 0.381229
279 0.380990
144 0.380810
171 0.380651
6357 0.380551
1164 0.380472
2703 0.380412
582 0.380352
2385 0.380273
174 0.380134
312 0.380054
4542 0.380054
1515 0.379777
3981 0.379638
1053 0.379539
1188 0.379222
2082 0.379183
4227 0.379143
1179 0.379064
2640 0.378985
3999 0.378926
5223 0.378847
318 0.378788
1191 0.378670
1245 0.378630
1527 0.378256
1161 0.378158
2268 0.378040
2568 0.377863
381 0.377804
1083 0.377608
1470 0.377491
852 0.377451
1056 0.377412
2748 0.377393
111 0.377295
918 0.377275
1419 0.377138
2577 0.377099
1425 0.377002
708 0.376904
7095 0.376767
1389 0.376631
372 0.376183
1305 0.376105
1725 0.376086
4521 0.375833
1080 0.375755
2619 0.375755
1560 0.375717
7398 0.375697
1206 0.375658
2001 0.375581
4737 0.375542
3933 0.375426
1182 0.375406
1368 0.375097
651 0.374826
4239 0.374807
5211 0.374749
4071 0.374537
1239 0.374286
138 0.374248
324 0.374190
1242 0.374036
1218 0.373959
792 0.373940
2055 0.373940
861 0.373844
1629 0.373844
2049 0.373805
1128 0.373786
7641 0.373537
4791 0.373498
522 0.373460
1821 0.373211
7302 0.372809
2256 0.372714
4506 0.372714
513 0.372676
531 0.372599
1086 0.372466
7515 0.372275
429 0.372142
3792 0.372104
1662 0.372085
1158 0.372047
501 0.372028
3015 0.371933
2637 0.371875
2736 0.371837
1455 0.371685
1146 0.371648
7146 0.371534
1365 0.371458
4704 0.371382
1836 0.371325
726 0.371211
2715 0.371192
3669 0.371155
4716 0.371117
54 0.371079
3240 0.371041
7269 0.370852
1167 0.370663
5220 0.370663
5259 0.370625
4374 0.370531
2610 0.370512
198 0.370399
6783 0.370248
1308 0.370003
4356 0.369890
4569 0.369871
2910 0.369815
6654 0.369627
1224 0.369458
7089 0.369458
798 0.369289
3246 0.369289
5256 0.369233
2937 0.369196
1092 0.369158
1815 0.369102
1686 0.369083
1221 0.369008
906 0.368990
1338 0.368952
1113 0.368747
1395 0.368747
3108 0.368747
6033 0.368634
6678 0.368578
612 0.368541
2595 0.368466
2529 0.368224
2931 0.368205
5277 0.368075
4062 0.368000
2793 0.367945
1089 0.367926
783 0.367647
3354 0.367647
7491 0.367647
789 0.367387
1476 0.367294
4530 0.367257
1041 0.366979
2916 0.366942
1152 0.366794
4572 0.366739
4398 0.366683
1209 0.366610
2718 0.366536
6930 0.366517
2550 0.366499
1320 0.366406
1743 0.366388
1302 0.366370
579 0.366351
1464 0.366351
1524 0.366333
4065 0.366296
219 0.366222
7128 0.366093
465 0.366056
1143 0.365964
9225 0.365927
2559 0.365817
1479 0.365688
7140 0.365578
4755 0.365523
1197 0.365321
786 0.365156
7386 0.365138
4746 0.365119
828 0.364973
6189 0.364954
507 0.364881
4695 0.364753
1782 0.364716
4878 0.364680
2754 0.364607
2592 0.364388
819 0.364369
1809 0.364333
1203 0.364296
4683 0.364242
1119 0.364223
7047 0.364223
4074 0.364151
486 0.364041
2229 0.364041
6834 0.363987
1107 0.363768
1173 0.363677
2052 0.363623
288 0.363586
4680 0.363332
1647 0.363278
2622 0.363278
5484 0.363115
1623 0.363078
1350 0.363024
1833 0.362933
864 0.362915
876 0.362662
1317 0.362373
7281 0.362355
3348 0.362265
807 0.362247
384 0.362211
2940 0.362120
267 0.362012
558 0.361976
1962 0.361796
9276 0.361796
873 0.361778
3174 0.361670
5295 0.361616
3036 0.361527
6657 0.361437
309 0.361365
1074 0.361311
4131 0.361275
12264 0.361042
2076 0.360988
7203 0.360845
7326 0.360809
1668 0.360756
960 0.360738
11496 0.360684
2706 0.360523
1059 0.360273
4815 0.360149
2160 0.360131
1035 0.360095
5301 0.360095
3915 0.360042
7188 0.359953
537 0.359917
6051 0.359792
5499 0.359614
7437 0.359597
14568 0.359597
6465 0.359366
891 0.359100
6156 0.359100
2943 0.359064
1728 0.358958
2613 0.358887
123 0.358781
888 0.358781
2970 0.358781
10830 0.358728
711 0.358710
10302 0.358710
7401 0.358657
768 0.358374
3057 0.358321
1902 0.358286
1578 0.358216
4611 0.357934
885 0.357881
14241 0.357863
1602 0.357828
4497 0.357775
5943 0.357722
9 0.357687
3147 0.357441
17748 0.357424
1362 0.357406
2745 0.357388
2670 0.357266
5157 0.357248
7248 0.357195
732 0.357160
11745 0.357160
3222 0.357143
1422 0.357125
6111 0.356950
7320 0.356950
7527 0.356915
4686 0.356863
5118 0.356670
4692 0.356635
10803 0.356460
4515 0.356233
1428 0.356216
4218 0.356129
2580 0.356024
2631 0.355989
2652 0.355902
1314 0.355868
2751 0.355868
5331 0.355781
2817 0.355607
6063 0.355607
408 0.355416
2679 0.355069
8403 0.355034
7215 0.354965
6144 0.354861
17643 0.354792
1326 0.354774
3027 0.354740
4287 0.354722
9345 0.354670
7236 0.354636
4551 0.354619
5505 0.354584
882 0.354498
399 0.354480
1098 0.354446
1149 0.354239
1941 0.354187
2766 0.354170
561 0.354066
4527 0.354049
1485 0.354032
207 0.353963
2070 0.353842
4509 0.353774
6906 0.353756
3786 0.353619
156 0.353499
5976 0.353499
552 0.353464
3216 0.353396
3039 0.353378
87 0.353293
9228 0.353258
7428 0.353241
4149 0.353207
4995 0.353070
4164 0.352915
5214 0.352864
246 0.352761
2994 0.352573
4125 0.352522
2922 0.352454
4839 0.352437
5244 0.352420
1716 0.352283
1689 0.352130
5286 0.352079
4098 0.352062
5340 0.352045
5202 0.351976
6297 0.351959
2760 0.351908
5418 0.351772
2697 0.351687
2088 0.351602
5682 0.351602
10482 0.351602
2262 0.351534
4767 0.351483
555 0.351415
6069 0.351398
2733 0.351381
1932 0.351263
9252 0.351246
5472 0.351229
657 0.351127
3219 0.350907
2046 0.350873
2514 0.350873
1116 0.350856
6150 0.350839
7443 0.350822
10662 0.350788
4701 0.350771
7092 0.350687
3141 0.350653
546 0.350569
837 0.350467
870 0.350434
132 0.350400
735 0.350366
2472 0.350332
8694 0.350265
5088 0.350181
4380 0.350147
2946 0.350130
10683 0.350012
7170 0.349995
7434 0.349928
7272 0.349861
5970 0.349810
2517 0.349726
5253 0.349659
1215 0.349625
5769 0.349524
7308 0.349457
1323 0.349407
17037 0.349373
1548 0.349340
7545 0.349323
2775 0.349306
5451 0.349256
6327 0.349256
4281 0.349239
2040 0.349206
1410 0.349189
5988 0.349155
5625 0.349139
5991 0.349122
4362 0.349072
936 0.349055
10440 0.349038
6861 0.349005
3177 0.348804
930 0.348787
9888 0.348770
10860 0.348703
1248 0.348670
7278 0.348637
14379 0.348620
2010 0.348570
8580 0.348570
1212 0.348553
7200 0.348553
12291 0.348470
9909 0.348386
7197 0.348319
4335 0.348303
1806 0.348253
2367 0.348153
2856 0.348086
2430 0.348053
5208 0.347936
7179 0.347886
1896 0.347803
1584 0.347787
7032 0.347787
2973 0.347720
3021 0.347670
6405 0.347670
1332 0.347654
5382 0.347654
7119 0.347587
3768 0.347537
1929 0.347421
7209 0.347355
6825 0.347289
4092 0.347255
7311 0.347239
4284 0.347139
7368 0.347123
19128 0.347090
141 0.347007
2655 0.346808
1131 0.346775
474 0.346726
5052 0.346726
897 0.346693
1695 0.346676
2118 0.346676
2886 0.346511
2772 0.346445
1194 0.346264
5322 0.346247
12201 0.346231
405 0.346148
7374 0.346148
270 0.346115
5853 0.346115
2535 0.345934
4740 0.345934
9291 0.345901
6810 0.345885
7506 0.345852
10647 0.345852
2643 0.345786
17604 0.345770
6075 0.345622
14274 0.345622
17514 0.345622
5406 0.345589
741 0.345573
1434 0.345573
1692 0.345409
7353 0.345392
7797 0.345343
12423 0.345261
2328 0.345196
7821 0.345081
17442 0.345065
6957 0.345016
1893 0.344999
4161 0.344918
6378 0.344819
1359 0.344738
7050 0.344738
6786 0.344689
1884 0.344623
4368 0.344623
7407 0.344623
3063 0.344591
249 0.344574
3243 0.344558
495 0.344542
3054 0.344477
7488 0.344460
1656 0.344428
4539 0.344379
12192 0.344362
4251 0.344297
6009 0.344281
1251 0.344232
4818 0.344118
1125 0.344086
333 0.343988
1761 0.343972
4809 0.343939
11199 0.343923
12258 0.343890
4983 0.343858
306 0.343825
1569 0.343809
7260 0.343695
2934 0.343679
6105 0.343647
447 0.343614
7230 0.343582
534 0.343566
5553 0.343566
7167 0.343549
17136 0.343468
17139 0.343468
2061 0.343452
7344 0.343436
2730 0.343420
2721 0.343339
13002 0.343290
6279 0.343274
5391 0.343258
2142 0.343225
5490 0.343225
11016 0.343209
747 0.343193
5376 0.343193
2667 0.343160
327 0.343144
4317 0.343047
9216 0.342982
2781 0.342885
11670 0.342869
7218 0.342805
9261 0.342788
6024 0.342756
951 0.342740
1296 0.342643
4128 0.342595
2928 0.342563
14823 0.342530
459 0.342482
5346 0.342434
10722 0.342401
375 0.342224
6276 0.342208
6258 0.342095
9300 0.342095
16101 0.342063
45 0.342047
7113 0.341967
12330 0.341967
2271 0.341951
4248 0.341935
4836 0.341886
7176 0.341806
3048 0.341694
6561 0.341678
4827 0.341662
60 0.341613
4689 0.341517
1344 0.341485
