#
# Directed graph => clustering coefficient. G(27407, 128201). Average clustering: 0.1063  OpenTriads: 8596609 (0.9748)  ClosedTriads: 221969 (0.0252) (Fri Aug 23 17:05:49 2019)
#
# Node degree	Average clustering coefficient
1	0
2	0.130969
3	0.274122
4	0.265351
5	0.22703
6	0.229579
7	0.233067
8	0.21409
9	0.164385
10	0.171406
11	0.171893
12	0.178106
13	0.17072
14	0.187619
15	0.175228
16	0.169263
17	0.146401
18	0.149195
19	0.182401
20	0.177358
21	0.163747
22	0.141761
23	0.184567
24	0.126815
25	0.195132
26	0.158761
27	0.145174
28	0.155762
29	0.160604
30	0.130467
31	0.146495
32	0.155401
33	0.133652
34	0.169305
35	0.110413
36	0.144963
37	0.135477
38	0.137251
39	0.122577
40	0.122637
41	0.146982
42	0.115077
43	0.126943
44	0.149117
45	0.1135
46	0.152967
47	0.141905
48	0.148571
49	0.125392
50	0.106004
51	0.112798
52	0.0911906
53	0.129338
54	0.11352
55	0.156236
56	0.127401
57	0.109461
58	0.13008
59	0.166769
60	0.10181
61	0.10717
62	0.0834643
63	0.128668
64	0.113112
65	0.137547
66	0.12736
67	0.151374
68	0.132548
69	0.11553
70	0.0985722
71	0.116222
72	0.139931
73	0.0985572
74	0.120102
75	0.163998
76	0.119851
77	0.0988045
78	0.0748079
79	0.109585
80	0.168538
81	0.0924397
82	0.0814895
83	0.120089
84	0.145914
85	0.113404
86	0.126662
87	0.103011
88	0.137271
89	0.0824244
90	0.0722624
91	0.0952114
92	0.14822
93	0.09665
94	0.0860119
95	0.11791
96	0.112043
97	0.0957741
98	0.128038
99	0.0814229
100	0.109333
101	0.113547
102	0.0912132
103	0.0817683
104	0.0471693
105	0.084679
106	0.0735629
107	0.0995253
108	0.100792
109	0.070526
110	0.0722861
111	0.128751
112	0.114225
113	0.109831
114	0.0759994
115	0.0963257
116	0.0829054
117	0.0565537
118	0.144381
119	0.117342
120	0.0569023
121	0.0682113
122	0.0815716
123	0.114864
124	0.0839344
125	0.134526
126	0.0997312
127	0.163314
128	0.167121
129	0.0541288
130	0.174159
131	0.129276
132	0.0717268
133	0.0616637
134	0.0840666
135	0.0668233
136	0.0902338
137	0.121173
138	0.0722403
139	0.0951578
140	0.10967
141	0.102494
142	0.0873456
143	0.102445
144	0.102635
146	0.0937727
147	0.167377
148	0.140987
149	0.0698447
150	0.0510743
151	0.152541
152	0.0611265
153	0.106103
154	0.105085
155	0.0408887
156	0.0603198
157	0.0793207
158	0.0189106
159	0.0561104
160	0.07302
161	0.0392535
162	0.0989176
163	0.0739653
164	0.107242
165	0.0906048
166	0.0844511
167	0.0893956
168	0.0741547
171	0.0573003
172	0.0990999
173	0.0756763
177	0.0844453
178	0.0805806
179	0.139224
180	0.126206
182	0.0659209
183	0.102148
184	0.108823
185	0.036468
186	0.0507002
187	0.0728701
188	0.0707196
189	0.130214
190	0.07908
191	0.173414
192	0.127161
193	0.0989396
194	0.0874961
195	0.135779
196	0.0655064
197	0.101658
199	0.0777274
201	0.0932466
202	0.151173
203	0.0363378
204	0.204208
205	0.0475323
206	0.0454972
207	0.104017
208	0.126073
209	0.129939
210	0.0715803
212	0.0935834
213	0.0847404
216	0.109373
217	0.0361181
219	0.161297
222	0.0777559
223	0.0678278
224	0.119571
225	0.0565509
226	0.120541
227	0.0658019
228	0.123618
229	0.188789
230	0.0644571
232	0.0395591
234	0.0988336
235	0.144481
236	0.0510759
237	0.0603814
238	0.108167
241	0.12602
244	0.0836043
245	0.0671898
246	0.0840979
247	0.120626
248	0.0792809
249	0.140715
250	0.0335409
252	0.104529
253	0.148797
254	0.104517
256	0.0376355
258	0.0934028
259	0.0267824
260	0.119822
266	0.075473
267	0.126691
270	0.155084
273	0.0666881
274	0.0986912
275	0.108872
277	0.12916
278	0.0637079
279	0.12
281	0.038867
282	0.10903
284	0.146485
289	0.0616488
290	0.128376
293	0.0838496
294	0.0536414
298	0.0637423
300	0.120753
301	0.0630065
304	0.111302
312	0.0111218
314	0.0557205
318	0.0854589
319	0.0620617
323	0.103619
324	0.0546487
325	0.0346461
327	0.0824877
329	0.0853237
334	0.0962147
342	0.054558
345	0.049494
353	0.047416
354	0.0351027
355	0.10943
358	0.00959164
362	0.0200246
372	0.0143737
373	0.0327645
376	0.0924549
379	0.0683199
384	0.0269415
387	0.0568552
388	0.131477
389	0.10264
391	0.0434758
396	0.0467423
397	0.0151022
409	0.034533
427	0.0199756
455	0.0475074
456	0.043967
462	0.0989768
473	0.033322
514	0.0471456
526	0.0838544
550	0.0298923
558	0.0468276
589	0.0229215
612	0.0198795
634	0.0251341
644	0.0577643
845	0.0224083
974	0.00829133
1105	0.0296295
