#NId Centrality
9804398 296
9512380 268
9807344 244
9408384 235
9507378 230
9306320 222
9807216 206
9903282 204
9410404 193
9303230 178
9209232 168
9308246 168
9802290 162
9806404 160
9803466 153
9207214 152
9302210 150
9705442 142
9506380 141
9905312 139
9512406 138
9502298 138
9404270 135
9403338 133
9806292 132
9811350 129
9411426 126
9502336 123
9603208 121
9504316 119
9207234 117
9312272 116
9512336 115
9303202 110
9711396 108
9401258 108
9303320 108
6124 106
9607394 105
9810442 105
9812448 105
9310320 105
9303270 105
9401310 103
9811356 102
9501334 102
9408406 101
9302316 101
9402360 101
9504378 100
106258 99
9311340 98
9811448 97
9501384 97
9507282 96
9701390 95
9308288 95
9903358 95
9812360 95
9303284 93
9402364 92
9502300 92
9511288 91
9307364 90
9350 88
9812472 87
9403256 87
9709356 86
9211304 84
9708456 84
9205228 84
9505248 82
9408214 82
9811428 82
10338 82
9805422 81
9410280 80
9405388 79
9704448 79
9704452 79
9805470 79
9404282 79
9603378 78
9603404 78
9403290 78
9212278 77
9606388 77
9511210 77
204314 77
9206242 77
9507462 76
9607372 75
9908288 75
9712290 75
102122 75
102146 73
9903422 73
9306242 72
9503280 72
9211256 72
9904404 71
9807278 71
9603238 71
9811390 70
9403266 70
9209268 69
9509348 69
9408228 69
9405410 68
9602260 68
9308262 68
104110 67
9408404 67
9401328 66
9309310 65
9605398 65
9609434 65
9503486 64
9504372 64
9409254 64
9705292 64
9806540 64
9206236 64
9601276 63
9602366 63
9603420 63
9605408 63
9806328 63
9802334 63
9210242 62
9703276 62
9304240 62
9211260 61
9409458 61
9709388 61
9808272 61
9810232 61
9603202 61
9310316 61
9403224 61
9507294 60
9806344 60
9512218 60
9605264 60
9403364 60
9802440 59
12308 59
9709432 59
9703288 59
9512396 59
9506374 58
4004 58
9802394 58
9311222 58
106264 58
9806308 58
9807358 58
9502348 58
9608308 57
9610544 57
9205238 57
9311214 57
9305348 57
9601360 56
9503384 56
9405218 56
9602374 56
9504342 56
9605446 56
1002 55
9604370 55
9703290 55
9610540 55
9808296 55
111058 55
9912358 55
102204 55
9409380 55
9403384 55
9502366 55
9503214 54
9602208 54
9807310 54
9308292 54
9302318 54
9409440 54
9504292 53
9408222 53
9605288 53
9802314 53
9311274 53
204286 53
9906234 53
9707390 53
9503290 52
9606342 52
2108 52
9312324 52
9701284 52
9812282 52
9301244 52
9507386 52
9302208 52
9401254 52
9401308 52
9305274 52
9308222 51
9505422 51
9507216 51
9507262 51
9705304 51
9904408 51
9809596 51
9812320 51
9801430 51
9905566 51
9611218 51
9704376 51
9206218 51
9207264 51
1086 50
9602414 50
9603314 50
9603400 50
9506452 50
9508258 50
9803368 50
9410326 50
9805270 50
9609444 50
9512388 50
9807462 50
9512364 50
9302280 50
9303274 50
9402210 50
9207236 50
9603326 49
9702392 49
3154 49
9309294 49
9604412 49
9604452 49
9506416 49
9408224 49
9703442 49
9507212 49
9409244 49
9606370 49
9509204 49
9608322 49
102098 49
9405304 48
9411366 48
9905220 48
9905474 48
9812418 48
9905214 48
9605214 48
9703284 48
9503492 47
9504248 47
9604388 47
9211248 47
9801260 47
9703220 47
9605296 47
9807228 47
9512404 47
9808312 47
9308336 47
9811202 47
9812538 47
9310212 47
9512328 47
9802350 47
9606230 47
9606314 47
9305266 47
9502224 47
9306294 46
9308272 46
3246 46
9703464 46
9509406 46
9510408 46
9612446 46
9810410 46
9712392 46
9912236 46
9310242 46
102344 46
9401226 46
9305306 46
9504324 45
9308210 45
9603374 45
9310350 45
9901362 45
9411260 45
9411342 45
9706344 45
9608430 45
9806236 45
9608224 45
9710270 45
9710460 45
9712224 45
102234 45
9703278 45
9305228 45
9502270 45
9306230 44
11014 44
9405338 44
9604320 44
9801262 44
9310228 44
9606260 44
9410338 44
9711246 44
9706260 44
9511228 44
9906206 44
9809470 44
9301236 44
9302240 44
9205230 44
9601282 43
9503464 43
9405352 43
9307266 43
104034 43
9406224 43
9406386 43
9907240 43
9505326 43
9801208 43
9408290 43
9408306 43
9610252 43
9512252 43
9709492 43
9906512 43
9903308 43
9903502 43
9703420 43
9204214 43
9403306 43
9404302 43
9405320 42
9703240 42
9605342 42
9803316 42
9510204 42
9903448 42
9904378 42
106166 42
9706430 42
9706534 42
9710204 42
9712222 42
9603310 42
9404280 42
9307242 41
9504326 41
2064 41
9407344 41
9312212 41
9802238 41
9507380 41
9410406 41
9711262 41
9610276 41
9906322 41
9906434 41
9909334 41
9911524 41
9206262 41
9501394 41
9306256 40
9503344 40
3058 40
9604330 40
9408346 40
9408376 40
9311204 40
9705234 40
9805342 40
9806482 40
9608458 40
9510232 40
9510376 40
9911406 40
9912516 40
9309266 40
9511386 40
9207218 40
9502260 40
9504246 39
9701244 39
9505224 39
9506248 39
9506256 39
9605456 39
9507414 39
9606386 39
9803242 39
104062 39
9903404 39
9709322 39
9907510 39
9810260 39
9909456 39
9707354 39
9401236 39
9402288 39
9403264 39
9305258 39
9207278 39
9306212 38
9405342 38
9506242 38
9506354 38
9605286 38
103280 38
9410360 38
9411234 38
9906478 38
9908362 38
9810360 38
3180 38
9310276 38
9403226 38
9306240 37
9601324 37
9503356 37
9504374 37
9701238 37
9701396 37
9603366 37
9604364 37
9408276 37
9212284 37
9410240 37
7176 37
9805268 37
9609512 37
12352 37
9807264 37
9906224 37
9808304 37
9907472 37
9810308 37
9308274 37
9712302 37
106012 37
9812358 37
9610400 37
9905550 37
9302224 37
9502338 37
9601362 36
9208254 36
9503264 36
9405414 36
9601234 36
9504330 36
9601298 36
9406390 36
2178 36
9702276 36
9508296 36
9508302 36
9410304 36
9804252 36
9804332 36
9509312 36
9903454 36
9412322 36
9511454 36
9905242 36
9905464 36
9612260 36
9903298 36
9711308 36
9805208 36
9812256 36
112102 36
9310236 36
9310210 36
9302232 36
9204216 36
9205234 36
9501230 36
9403240 36
9307322 36
9306270 35
9405214 35
9701294 35
9407394 35
9211266 35
9801368 35
9212212 35
9705344 35
9607254 35
9307208 35
9511388 35
9610490 35
9906374 35
9608318 35
9308232 35
9510372 35
9812366 35
9909506 35
9408344 35
9606280 35
9403230 35
9305206 35
9901254 35
9305262 35
9306290 34
9504312 34
9504314 34
9410310 34
9702216 34
9705366 34
9312296 34
9409212 34
9607332 34
9311306 34
9508202 34
9508386 34
9803380 34
9902310 34
9509248 34
9804290 34
9602216 34
9307342 34
9903402 34
9412208 34
9904468 34
9511342 34
9806348 34
9810216 34
9602280 34
9710516 34
9809480 34
9712372 34
101336 34
7294 34
9310332 34
9507326 34
9503484 33
9405386 33
9612202 33
9504426 33
9406204 33
9505320 33
9505350 33
9505428 33
9612398 33
9407404 33
9612464 33
9604416 33
9211204 33
4014 33
103062 33
9901288 33
9508204 33
9902308 33
9509308 33
9602250 33
9903294 33
9805262 33
9611272 33
9907520 33
9809582 33
9711348 33
9711514 33
9908326 33
9609360 33
9708222 33
9802300 33
103048 33
9704412 33
9501222 33
9501372 33
9901228 33
9305204 33
9305232 33
9601306 32
9601356 32
9603204 32
9603212 32
9505244 32
9410384 32
9705356 32
9408234 32
9703298 32
4028 32
9409250 32
9607310 32
9704298 32
9705290 32
9805442 32
106204 32
9254 32
9512348 32
9906296 32
9612364 32
9907532 32
9809352 32
9809438 32
111150 32
2150 32
9812396 32
9912408 32
9506350 32
9302202 32
9401206 32
9402270 32
9501336 32
9311372 32
9403390 32
9212308 31
9607290 31
9804294 31
9707532 31
9511378 31
9905310 31
9905372 31
9810270 31
9805424 31
7362 31
9703436 31
9310358 31
9203206 31
9409326 31
9402214 31
9403254 31
9403276 31
202058 31
9405340 30
9307244 30
1166 30
9602236 30
1268 30
9702314 30
9309298 30
9801356 30
9703358 30
9605326 30
9312318 30
9507284 30
9903260 30
9902256 30
9803454 30
9705286 30
9410388 30
9607440 30
9509410 30
9411334 30
9510202 30
9510410 30
9904248 30
9411372 30
9512264 30
9808328 30
9612284 30
9907218 30
9712368 30
9712488 30
9811378 30
9911252 30
9707364 30
9707482 30
9610358 30
9605220 30
11054 29
9405322 29
9209262 29
9308276 29
9603206 29
9801268 29
9703212 29
9507246 29
9311228 29
9803440 29
9410282 29
9705208 29
9705244 29
7108 29
7218 29
9806272 29
9610280 29
