#
# Directed graph => in-degree Distribution. G(27407, 128201). 2307 (0.0842) nodes with in-deg > avg deg (9.4), 1337 (0.0488) with >2*avg.deg (Fri Aug 23 17:04:30 2019)
#
# In-degree	Count
0	8572
1	9611
2	2838
3	1379
4	917
5	594
6	404
7	323
8	271
9	191
10	151
11	165
12	118
13	108
14	102
15	77
16	85
17	90
18	74
19	52
20	53
21	59
22	57
23	41
24	44
25	35
26	31
27	46
28	35
29	26
30	28
31	19
32	20
33	24
34	21
35	19
36	20
37	17
38	25
39	17
40	14
41	17
42	13
43	13
44	22
45	15
46	13
47	13
48	12
49	13
50	17
51	11
52	10
53	13
54	14
55	9
56	11
57	6
58	6
59	9
60	12
61	10
62	8
63	7
64	8
65	8
66	7
67	7
68	8
69	9
70	7
71	7
72	5
73	7
74	5
75	10
76	5
77	7
78	3
79	3
80	3
81	2
82	6
83	3
84	5
85	4
87	5
88	3
89	4
90	2
91	3
92	3
93	4
94	4
95	6
96	1
97	5
98	2
99	4
100	1
101	1
102	3
103	2
104	1
105	1
106	1
107	2
108	3
109	1
110	2
111	2
112	3
113	2
114	3
115	1
116	2
117	5
118	2
119	3
120	2
121	3
122	2
123	1
124	1
126	2
127	1
128	2
129	5
131	3
132	1
133	3
134	2
136	3
137	1
138	1
140	2
141	1
142	4
145	2
146	3
147	4
149	1
150	1
152	2
153	3
156	1
157	1
158	1
160	2
162	1
164	2
167	2
169	1
170	2
171	2
172	2
173	1
174	1
175	2
176	3
182	2
183	1
184	1
186	1
187	1
189	1
190	1
191	1
192	2
193	2
196	2
199	1
201	1
203	1
205	1
208	1
209	1
210	1
214	1
216	1
224	2
226	2
229	1
231	1
232	2
244	1
246	1
247	1
251	2
255	1
262	1
275	1
277	1
285	1
287	1
291	1
297	1
301	1
319	1
321	1
323	1
326	1
341	1
347	1
354	1
358	1
375	2
383	1
397	1
407	1
463	1
566	1
589	1
656	1
751	1
