#NId Centrality
1 0.931217
3 0.531722
5 0.494382
51 0.000000
11 0.000000
17 0.000000
11779 0.000000
21 0.000000
433 0.000000
25 0.000000
27 0.000000
29 0.000000
31 0.000000
33 0.000000
35 0.000000
549 0.000000
39 0.000000
555 0.000000
2605 0.000000
563 0.000000
565 0.000000
87 0.000000
61 0.000000
63 0.000000
65 0.000000
67 0.000000
71 0.000000
75 0.000000
77 0.000000
81 0.000000
83 0.000000
85 0.000000
697 0.000000
355 0.000000
2867 0.000000
1111 0.000000
91 0.000000
93 0.000000
4703 0.000000
101 0.000000
2065 0.000000
105 0.000000
107 0.000000
625 0.000000
2675 0.000000
119 0.000000
123 0.000000
127 0.000000
133 0.000000
137 0.000000
1167 0.000000
427 0.000000
451 0.000000
1173 0.000000
663 0.000000
665 0.000000
1179 0.000000
1181 0.000000
159 0.000000
295 0.000000
113 0.000000
169 0.000000
683 0.000000
685 0.000000
687 0.000000
689 0.000000
691 0.000000
693 0.000000
695 0.000000
185 0.000000
699 0.000000
1029 0.000000
701 0.000000
193 0.000000
211 0.000000
205 0.000000
1233 0.000000
723 0.000000
725 0.000000
215 0.000000
4313 0.000000
735 0.000000
225 0.000000
233 0.000000
431 0.000000
235 0.000000
237 0.000000
1747 0.000000
383 0.000000
6401 0.000000
43 0.000000
727 0.000000
435 0.000000
789 0.000000
283 0.000000
645 0.000000
4903 0.000000
297 0.000000
1075 0.000000
649 0.000000
313 0.000000
1247 0.000000
317 0.000000
319 0.000000
321 0.000000
323 0.000000
325 0.000000
1249 0.000000
329 0.000000
311 0.000000
335 0.000000
337 0.000000
339 0.000000
341 0.000000
343 0.000000
345 0.000000
347 0.000000
349 0.000000
351 0.000000
353 0.000000
315 0.000000
357 0.000000
359 0.000000
361 0.000000
4939 0.000000
363 0.000000
365 0.000000
367 0.000000
369 0.000000
371 0.000000
373 0.000000
375 0.000000
377 0.000000
379 0.000000
381 0.000000
5269 0.000000
387 0.000000
389 0.000000
391 0.000000
393 0.000000
395 0.000000
397 0.000000
399 0.000000
401 0.000000
403 0.000000
405 0.000000
407 0.000000
409 0.000000
411 0.000000
1207 0.000000
415 0.000000
417 0.000000
3483 0.000000
421 0.000000
423 0.000000
425 0.000000
327 0.000000
429 0.000000
413 0.000000
19889 0.000000
947 0.000000
437 0.000000
439 0.000000
441 0.000000
443 0.000000
445 0.000000
447 0.000000
449 0.000000
331 0.000000
453 0.000000
4041 0.000000
419 0.000000
475 0.000000
4067 0.000000
10731 0.000000
681 0.000000
