#NId Centrality
143 751
737 656
1179 589
1719 566
27 463
1619 407
1 397
791 383
725 375
1621 375
77 358
4415 354
401 347
1753 341
735 326
125 323
1191 321
849 319
135 301
31 297
4969 291
1029 287
2239 285
49 277
1401 275
549 262
433 255
59 251
1623 251
449 247
1909 246
717 244
385 232
681 232
19 231
1247 229
295 226
1617 226
301 224
715 224
103 216
329 214
1075 210
395 209
563 208
1749 205
35 203
645 201
1399 199
81 196
443 196
663 193
3281 193
555 192
2969 192
3655 191
1429 190
2227 189
1405 187
29 186
883 184
1173 183
723 182
1577 182
107 176
127 176
551 176
141 175
843 175
13 174
85 173
1023 172
1613 172
169 171
1409 171
689 170
733 170
879 169
83 167
3685 167
639 164
1903 164
187 162
65 160
101 160
45 158
1111 157
235 156
51 153
447 153
1177 153
165 152
3505 152
93 150
4045 149
61 147
381 147
2113 147
2115 147
431 146
973 146
2643 146
763 145
4161 145
55 142
429 142
1751 142
1935 142
1323 141
43 140
299 140
783 138
4037 137
21 136
79 136
1129 136
697 134
2375 134
637 133
1635 133
3899 133
225 132
789 131
1283 131
1815 131
53 129
69 129
195 129
413 129
1207 129
369 128
8363 128
421 127
105 126
1397 126
427 124
793 123
71 122
289 122
63 121
1163 121
2995 121
1895 120
2059 120
233 119
1975 119
2161 119
223 118
665 118
383 117
751 117
997 117
2063 117
2685 117
1471 116
3065 116
1437 115
333 114
853 114
6871 114
67 113
975 113
923 112
2215 112
7579 112
4055 111
4931 111
3499 110
4123 110
39 109
1411 108
2637 108
4061 108
37 107
5177 107
319 106
33 105
559 104
117 103
699 103
557 102
965 102
1315 102
999 101
993 100
1755 99
1817 99
1857 99
2065 99
73 98
18955 98
119 97
123 97
453 97
1185 97
1905 97
1911 96
97 95
133 95
1181 95
2687 95
3249 95
5199 95
1255 94
1561 94
2991 94
3879 94
5 93
913 93
1521 93
6653 93
1035 92
2775 92
5951 92
415 91
729 91
5423 91
2037 90
12307 90
375 89
719 89
1629 89
2049 89
2025 88
2201 88
4041 88
863 87
2047 87
2501 87
5831 87
9479 87
409 85
1171 85
2561 85
4039 85
445 84
1403 84
2303 84
2435 84
2713 84
89 83
2169 83
5953 83
451 82
629 82
1167 82
1259 82
2867 82
71383 82
113 81
7843 81
307 80
765 80
3875 80
405 79
779 79
4047 79
411 78
685 78
5829 78
115 77
547 77
649 77
1783 77
2197 77
2635 77
5209 77
345 76
365 76
407 76
1763 76
2511 76
87 75
111 75
565 75
1533 75
2035 75
2373 75
2861 75
4089 75
5227 75
6175 75
297 74
727 74
1747 74
2371 74
4451 74
1483 73
2061 73
2497 73
3173 73
4423 73
5277 73
11519 73
109 72
597 72
1309 72
3277 72
4313 72
11 71
403 71
