#NId Centrality
3109 0.300309
9134 0.282802
1056 0.282457
1054 0.280410
5617 0.279697
171 0.276919
263 0.276835
1655 0.275761
165 0.275356
2416 0.274730
410 0.273796
889 0.273019
99 0.272978
407 0.272944
453 0.272828
1536 0.272759
408 0.272739
763 0.272663
1198 0.272186
127 0.271866
867 0.271615
987 0.271594
2265 0.271439
765 0.271276
261 0.270776
989 0.270662
6101 0.270137
167 0.269602
1164 0.269441
147 0.269175
1537 0.268902
4097 0.267961
961 0.267710
1252 0.267631
1322 0.267585
3761 0.267204
495 0.267171
1186 0.266896
1579 0.266889
2364 0.266693
1456 0.266575
699 0.266458
2485 0.266340
1959 0.266262
1535 0.266216
1765 0.266177
345 0.266106
1534 0.266073
3556 0.266027
568 0.265819
131 0.265806
348 0.265806
1971 0.265709
4673 0.265605
1050 0.265294
4057 0.265294
412 0.265229
2096 0.265048
1091 0.264926
1598 0.264526
3167 0.264353
3583 0.264276
4745 0.264276
2975 0.264051
5673 0.263955
90 0.263929
1055 0.263558
200 0.263456
565 0.263380
566 0.263373
1109 0.263361
762 0.263259
2787 0.263227
1943 0.263010
1551 0.262858
8308 0.262839
1058 0.262826
615 0.262756
669 0.262705
696 0.262648
3060 0.262553
129 0.262312
1529 0.262306
260 0.262256
4609 0.262256
1255 0.262173
988 0.262129
1904 0.262091
161 0.262034
1890 0.262034
4094 0.261908
344 0.261864
633 0.261807
3802 0.261625
1503 0.261537
2196 0.261530
3614 0.261518
4765 0.261417
781 0.261398
1632 0.261342
190 0.261329
1717 0.261279
1116 0.261185
855 0.261147
819 0.261078
794 0.261047
5431 0.261022
5925 0.260947
133 0.260940
3418 0.260840
2011 0.260703
698 0.260697
2195 0.260659
1545 0.260634
596 0.260572
2484 0.260491
2231 0.260384
945 0.260198
901 0.260086
106 0.260042
2354 0.259825
4496 0.259825
4404 0.259750
4127 0.259645
130 0.259620
2628 0.259620
2107 0.259577
346 0.259502
2862 0.259502
984 0.259484
628 0.259409
1962 0.259385
6242 0.259360
1553 0.259348
1024 0.259323
3889 0.259310
237 0.259212
2166 0.259119
89 0.259107
220 0.259100
3065 0.259070
3716 0.258940
1461 0.258909
648 0.258878
2904 0.258878
58 0.258854
3827 0.258829
812 0.258798
3427 0.258724
168 0.258688
2197 0.258651
2388 0.258620
1165 0.258509
187 0.258491
290 0.258417
1586 0.258411
267 0.258399
4369 0.258356
2396 0.258307
3999 0.258258
3132 0.258233
148 0.258190
347 0.258184
920 0.258117
3094 0.258117
3831 0.258098
405 0.258043
2268 0.258006
447 0.257921
2714 0.257921
5885 0.257902
128 0.257805
3684 0.257743
1031 0.257719
223 0.257701
3355 0.257688
3058 0.257603
285 0.257597
567 0.257573
4584 0.257566
2927 0.257560
4077 0.257542
2143 0.257481
4990 0.257475
2830 0.257469
6323 0.257457
1504 0.257438
5082 0.257402
296 0.257365
1088 0.257341
1223 0.257317
3400 0.257310
547 0.257262
354 0.257225
3127 0.257219
7434 0.257219
328 0.257207
630 0.257201
4571 0.257201
329 0.257189
6426 0.257171
569 0.257134
2595 0.257128
4352 0.257037
5398 0.257037
330 0.257025
693 0.257006
4712 0.257000
7270 0.256982
213 0.256843
7338 0.256806
2280 0.256776
3959 0.256770
2151 0.256764
314 0.256758
1850 0.256733
5347 0.256709
46 0.256679
4065 0.256661
1614 0.256643
6784 0.256594
2720 0.256576
252 0.256540
2710 0.256540
851 0.256515
486 0.256467
3125 0.256449
4201 0.256443
5156 0.256407
756 0.256388
5302 0.256358
4655 0.256310
1835 0.256298
92 0.256268
5442 0.256262
205 0.256256
4007 0.256183
2365 0.256171
5765 0.256153
120 0.256093
170 0.256044
4054 0.256032
637 0.255930
3617 0.255930
2661 0.255900
4465 0.255888
7223 0.255888
2683 0.255864
1841 0.255858
3154 0.255840
692 0.255828
695 0.255798
3861 0.255798
4128 0.255786
3343 0.255761
2528 0.255755
493 0.255749
4806 0.255737
1042 0.255707
1430 0.255707
2443 0.255635
647 0.255623
2181 0.255611
823 0.255599
4866 0.255575
5216 0.255521
94 0.255509
3399 0.255503
4016 0.255497
1664 0.255443
2309 0.255443
1657 0.255383
3311 0.255383
3046 0.255377
3061 0.255365
6479 0.255347
1057 0.255323
5838 0.255311
397 0.255257
7823 0.255257
893 0.255239
2580 0.255215
3933 0.255185
1533 0.255167
2387 0.255155
9772 0.255149
982 0.255143
1867 0.255120
1883 0.255120
2002 0.255102
3178 0.255078
9660 0.255048
487 0.254976
2863 0.254976
10132 0.254976
6927 0.254958
3337 0.254904
5932 0.254868
174 0.254862
6843 0.254851
1176 0.254845
3317 0.254821
5342 0.254779
2684 0.254755
1697 0.254731
272 0.254707
