#NId Centrality
645 927
763 835
143 791
737 682
1179 591
1719 567
71399 563
27 523
637 426
1619 421
1 413
791 387
1621 387
725 385
1059 382
77 379
401 364
4415 361
1753 350
735 345
145 337
1191 335
125 329
849 325
1835 325
135 308
2239 306
31 304
4969 304
5227 293
549 287
1029 287
49 286
629 282
1401 277
35 270
443 270
1669 269
1623 267
385 266
563 261
59 257
433 257
717 257
663 255
1909 254
1225 251
449 250
1617 246
19 243
661 241
715 237
1075 237
301 236
329 235
681 235
141 234
395 230
1247 230
295 228
169 227
103 225
119 223
1849 222
1749 220
1857 215
107 211
81 209
1727 209
279 208
1399 207
65 204
1283 203
3655 203
1429 202
85 201
555 201
2227 199
639 198
751 198
723 196
883 196
1405 195
7047 195
733 194
3281 194
79 192
165 192
2969 192
551 191
843 191
1023 191
127 190
195 190
447 190
1173 190
1577 190
7427 189
29 186
1613 186
83 185
1533 185
4161 185
431 183
13 182
879 180
689 179
2643 179
3505 178
1501 177
1379 175
3065 175
973 174
1903 174
101 173
235 173
3685 172
45 171
1409 171
429 170
4045 170
187 167
3527 167
2113 166
1111 163
1815 163
2115 163
61 162
289 162
1539 162
3899 160
51 159
63 159
93 159
2279 159
381 158
4037 158
997 156
1177 156
1751 156
6003 156
123 154
1935 154
299 153
383 153
223 152
793 152
427 151
4017 151
39 150
43 150
21 149
333 149
4929 149
6467 149
55 148
225 148
413 148
789 148
1483 148
1847 148
2729 148
697 147
1323 147
2161 147
25 146
319 146
1397 146
421 145
783 145
33 144
2995 144
105 143
233 143
1129 143
2375 143
913 142
1207 142
71 141
217 141
369 141
1851 140
375 139
923 139
1635 138
1471 137
2867 137
975 136
4313 135
53 134
909 134
2497 134
3499 134
11581 134
69 133
117 133
1975 133
559 132
1443 132
2151 132
2893 132
8363 132
2649 131
2685 131
3585 131
113 130
307 130
1163 130
5503 130
1755 129
1895 129
2059 129
2277 129
6489 129
7687 129
1315 128
1437 128
8183 128
1885 127
2037 127
2687 127
4007 127
4061 127
1455 125
2275 125
2501 125
67 124
665 124
4123 124
75 123
831 123
2197 123
3415 123
11 122
445 122
451 122
837 122
343 121
2169 121
3523 121
291 120
357 120
415 120
2047 120
2205 120
3519 120
3531 120
625 119
1905 119
4039 119
3879 118
2063 117
1035 116
1259 116
1655 116
6871 116
685 115
787 115
853 114
1441 114
5423 114
5831 114
37 113
649 113
2215 113
7579 113
5 112
5177 112
1817 111
4055 111
4931 111
73 110
2183 110
3921 110
5953 110
6653 110
565 109
607 109
993 109
1561 109
1725 109
4511 109
7421 109
215 108
481 108
1411 108
2049 108
2637 108
6613 108
699 107
1521 107
1629 107
5199 107
6669 107
917 106
955 106
965 106
2471 106
2775 106
5277 106
5813 106
297 105
1181 105
2651 105
4547 105
557 104
999 104
1185 104
2639 104
3321 104
4183 104
5951 104
1167 103
1209 103
1489 103
3875 103
3923 103
1171 102
2563 102
3189 102
5791 102
335 101
1299 101
2065 101
2371 101
2991 101
5267 101
453 100
1021 100
1665 100
1677 100
2561 100
3249 100
97 99
133 99
2303 99
3979 99
18955 99
167 98
201 98
245 98
403 98
597 98
617 98
1445 98
1731 98
2201 98
5209 98
10413 98
203 97
1393 97
1911 97
3173 97
3951 97
1519 96
2033 96
2285 96
2635 96
2713 96
3901 96
4041 96
12307 96
863 95
1189 95
1475 95
1763 95
2061 95
4357 95
5941 95
6393 95
1255 94
2157 94
2265 94
3865 94
345 93
729 93
1403 93
2025 93
4177 93
4963 93
139 92
409 92
411 92
1407 92
4047 92
547 91
1083 91
1503 91
2509 91
2861 91
111 90
705 90
719 90
2035 90
2189 90
2435 90
4081 90
4089 90
4187 90
5393 90
6285 90
1813 89
2647 89
87 88
109 88
237 88
765 88
1481 88
1517 88
1865 88
1933 88
4451 88
5829 88
9479 88
405 87
727 87
779 87
983 87
2075 87
365 86
1447 86
2287 86
6175 86
7843 86
407 85
1647 85
1845 85
2511 85
5205 85
5869 85
6765 85
9397 85
89 84
579 84
1033 84
1641 84
3277 84
3687 84
4165 84
6171 84
8541 84
155 83
1529 83
1615 83
2043 83
2865 83
4687 83
8769 83
115 82
303 82
349 82
679 82
693 82
971 82
2147 82
2479 82
10109 82
15941 82
71383 82
1431 81
1663 81
2281 81
2373 81
2821 81
3533 81
651 80
1433 80
3867 80
4423 80
191 79
239 79
543 79
3501 79
3859 79
5967 79
6059 79
6565 79
11519 79
455 78
545 78
683 78
1479 78
1883 78
2067 78
4329 78
4341 78
71403 78
193 77
1435 77
1783 77
2653 77
3483 77
417 76
439 76
1031 76
1537 76
1779 76
2217 76
2381 76
2631 76
3117 76
4565 76
7301 76
1309 75
3515 75
10505 75
669 74
947 74
1301 74
1439 74
1545 74
1747 74
3457 74
3783 74
4955 74
5317 74
11201 74
15945 74
71389 74
249 73
1979 73
2051 73
2057 73
2249 73
2641 73
3659 73
3703 73
4797 73
5835 73
6865 73
845 72
847 72
969 72
1509 72
2027 72
4199 72
4527 72
4921 72
5905 72
6431 72
1453 71
1707 71
2461 71
2757 71
3985 71
5175 71
5957 71
6017 71
627 70
2123 70
2195 70
3143 70
3683 70
6631 70
8729 70
91 69
745 69
851 69
1027 69
1805 69
2707 69
3155 69
4051 69
7251 69
7881 69
9429 69
17 68
315 68
331 68
773 68
1487 68
1899 68
2229 68
4003 68
4067 68
4411 68
4867 68
5667 68
6563 68
185 67
721 67
1263 67
1495 67
1507 67
2105 67
2695 67
4573 67
4725 67
5275 67
10313 67
12269 67
1003 66
1013 66
2517 66
2607 66
3507 66
4577 66
5947 66
10431 66
539 65
647 65
979 65
1037 65
1069 65
1589 65
2231 65
2525 65
2985 65
3503 65
3897 65
4679 65
4757 65
327 64
575 64
749 64
1011 64
1523 64
1541 64
2487 64
4167 64
6561 64
7437 64
553 63
991 63
1353 63
2291 63
2693 63
3431 63
4333 63
9087 63
523 62
925 62
1219 62
1649 62
2153 62
3479 62
3805 62
3935 62
4325 62
4769 62
5309 62
8797 62
9057 62
9331 62
11161 62
16811 62
159 61
437 61
653 61
731 61
839 61
927 61
1581 61
2327 61
2499 61
2655 61
3167 61
3181 61
3601 61
3841 61
3939 61
4077 61
4163 61
5425 61
5795 61
6483 61
6591 61
7619 61
8217 61
8697 61
8771 61
8777 61
8989 61
